what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1336899691671
started,bundle,com.amazonaws.eclipse.sdk.ui,1.0.0.v201203271114,"com.amazonaws.eclipse.sdk.ui",1336899691906
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1336899697281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336899707843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336899707859
error,log,,,"Cannot get version of GWT SDK ""GWT"", ensure it is configured properly",1336899712125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336899719609
started,bundle,com.google.gdt.eclipse.maven,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.maven",1336899726000
started,bundle,com.google.gdt.eclipse.suite,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.suite",1336899726109
started,bundle,com.google.gdt.eclipse.managedapis,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.managedapis",1336899726593
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1336899726781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336899730625
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1336899737234
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1336899737265
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1336899740140
error,log,,,"Error while tracking project-level changes from a change in R/",1336899741515
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1336899746765
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1336899747437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1336899764078
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336899770687
started,bundle,org.eclipse.cdt.core.lrparser,5.2.0.201202111925,"org.eclipse.cdt.core.lrparser",1336899772125
started,bundle,org.eclipse.cdt.core.lrparser.xlc,5.1.0.201202111925,"org.eclipse.cdt.core.lrparser.xlc",1336899772125
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1336899777687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336899777687
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1336899777718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336899778062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336899778484
error,log,,,"Creating directories for C:\\Program Files\\eclipse\\""C:\\Documents and Settings\\mdeegan\\SWDevelopment"" failed",1336899843421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336899843453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336899844328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336899845312
started,bundle,org.eclipse.egit.mylyn.ui,1.3.0.201202151440-r,"org.eclipse.egit.mylyn.ui",1336899847406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336899848125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336899872187
